ID,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
166,2019-08-06 05:41:14 +0000, Technical / Functional Skills, Not Disclosed by Recruiter ,4 - 9 yrs, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,Institutional Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
167,2019-08-06 05:27:10 +0000, Software Development / Software Engineer, Not Disclosed by Recruiter ,2 - 4 yrs, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
168,2019-08-05 19:31:24 +0000,, Not disclosed ,,,,,,,
169,2019-07-04 20:28:34 +0000, Inbound Phone Banking Voice Process - Leading Bank - Noida," 2,00,000 - 2,50,000 PA. ",0 - 2 yrs, customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,Voice,Noida,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level",Associate/Senior Associate -(NonTechnical)
170,2019-07-05 01:58:34 +0000,Java Enterprise Edition, Not Disclosed by Recruiter, 2 - 4 Years,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,Programming & Design, Mumbai,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
171,2019-07-06 14:09:42 +0000, Associate Clinical Data Processor, Not Disclosed by Recruiter ,0 - 1 yrs, MS Office| Data entry,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical)
172,2019-08-04 19:46:57 +0000,," INR 1,50,000 - 3,00,000 PA. ",,Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Counter|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales,,,,,
173,2019-07-07 01:21:09 +0000, CRM, Not Disclosed by Recruiter ,1 - 2 yrs, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,Corporate Sales,Bengaluru,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
174,2019-08-04 23:24:20 +0000, Magento Developer, Not Disclosed by Recruiter ,2 - 7 yrs, Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,Programming & Design,Ahmedabad,IT Software - System Programming,"BPO, Call Centre, ITeS",Software Developer
175,2019-07-04 07:58:02 +0000, Merchandiser," 2,00,000 - 6,50,000 PA. ",2 - 7 yrs, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,Production/Merchandising/Business Development,"Thane,Mumbai,Navi Mumbai","Export , Import , Merchandising","Textiles, Garments, Accessories",Merchandiser
176,2019-08-06 03:04:41 +0000, SIEM Analyst, Not Disclosed by Recruiter ,2 - 5 yrs,,Admin/Maintenance/Security/Datawarehousing,"Hyderabad,Bengaluru","IT Software - Network Administration , Security","Recruitment, Staffing",System Security
177,2019-07-05 02:31:34 +0000, Hiring ll Azure Devops and Management Lead ll Hyderabad," 12,00,000 - 20,00,000 PA. ",6 - 11 yrs, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
178,2019-07-06 07:46:15 +0000, Senior Faculty - Information Design, INR Pay in Level-12 (Rs 78800-209200) of the Pay Matrix plus admissible allowances ,15 - 20 yrs,,,Bengaluru,"Teaching , Education , Training , Counselling","Education, Teaching, Training",
179,2019-07-05 17:08:34 +0000, computer operator, Not Disclosed by Recruiter ,1 - 3 yrs, Computer Operator| MS Office| Software services| Comm| Typing speed| WHO| Software| level,,"Gurgaon,Noida","Executive Assistant , Front Office , Data Entry","IT-Software, Software Services",Stenographer/Data Entry Operator
180,2019-08-04 12:07:14 +0000, Operation Executive, Not Disclosed by Recruiter ,2 - 3 yrs, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment,Administration/Facility Management,Delhi NCR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Executive/ Sr Executive - Administration
181,2019-08-04 04:19:18 +0000, Customer Support Executive, Not Disclosed by Recruiter ,0 - 1 yrs, Customer Support Executive| Customer service| Business Executive| process,Voice,Chandigarh,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
182,2019-08-05 13:58:26 +0000, Corporate-Day Care Manager.," 2,50,000 - 3,00,000 PA. ",2 - 4 yrs, Staff Training| Day Care| Recruitment,Teachers,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",DaycareTeacher / Incharge / Attendant
183,2019-08-05 00:18:03 +0000, Hiring going on for .US Inbound Tech Support/ Sales, Not Disclosed by Recruiter ,1 - 6 yrs, process| Spot| Technical support| Night shift| International BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
184,2019-07-05 06:50:49 +0000,Deputy Manager- Performance/digital Marketing," INR 6,00,000 - 12,00,000 PA.", 4 - 9 Years,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,Online/Digital Marketing, Delhi NCR,"Marketing , Advertising , MR , PR , Media Planning",Education / Teaching / Training,Social Media Marketing Manager
185,2019-07-06 16:49:31 +0000," Technical Lead -(VoIP,Cisco Call Manager)", Not Disclosed by Recruiter ,2 - 7 yrs, java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Programming & Design,"Bengaluru,Bengaluru / Bangalore",IT Software - Telecom Software,"IT-Software, Software Services",Team Lead/Technical Lead
186,2019-08-05 10:21:14 +0000,, Not disclosed ,,,,,,,
187,2019-07-04 02:33:16 +0000, Relationship Manager," 4,75,000 - 6,00,000 PA. ",3 - 8 yrs, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer,Channel Sales,Chandigarh,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Sales / BD Manager
188,2019-07-04 12:07:42 +0000," Technician, Technical Support", Not Disclosed by Recruiter ,0 - 4 yrs, International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,Admin/Maintenance/Security/Datawarehousing,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
189,2019-08-05 05:19:56 +0000, Graphic Designer, Not Disclosed by Recruiter ,2 - 4 yrs, Illustrator| Corel Draw| Photoshop,Creative,Gurgaon,"Design , Creative , User Experience","Education, Teaching, Training",Graphic Designer
190,2019-08-05 03:41:44 +0000, Consultant, Not Disclosed by Recruiter ,2 - 5 yrs, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
191,2019-07-05 14:20:50 +0000, Immediate Requirement for Fusion Technical Lead Developer, Not Disclosed by Recruiter ,10 - 16 yrs, Technical Architecture| Fusion| Oracle Fusion,Programming & Design,"Delhi NCR,Mumbai,Bengaluru","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
192,2019-08-05 02:30:09 +0000, Layout Designer / Web Designer, Not Disclosed by Recruiter ,1 - 5 yrs, Layout design| Corel Draw| Web designing| Photoshop,Programming & Design,Ahmedabad,IT Software - Other,"Recruitment, Staffing",Graphic/Web Designer
193,2019-08-04 10:24:55 +0000, International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc," 2,00,000 - 4,50,000 PA. ",0 - 4 yrs, Bpo Voice| Voice Process| International BPO,Voice,"Mumbai,Mumbai Suburbs,Navi Mumbai,Thane,Vasai","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
194,2019-07-04 12:31:23 +0000, Asp.net with Angular JS & Html5 - Hyderabad, Best in Industry Standards ,5 - 7 yrs, HTML5| ASP,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
195,2019-08-05 12:10:25 +0000, Sales Manager Product and Portfolio, Not Disclosed by Recruiter ,5 - 10 yrs, Product training| Sales| Relationship| Banking| Recruitment,Retail Sales,Hyderabad,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
196,2019-07-07 01:19:30 +0000, Key Accounts Manager, Not Disclosed by Recruiter ,6 - 11 yrs, Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts,Corporate Sales,Mumbai,"Sales , Retail , Business Development","Recruitment, Staffing",Client Servicing/Key Account Manager
197,2019-08-05 23:26:02 +0000, Store Head-leading Manufacturing Company," 9,00,000 - 10,00,000 PA. ",10 - 15 yrs, Stores| warehouse| Logistics,Logistics,Bengaluru,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Manager
198,2019-08-05 12:25:39 +0000, BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl, Not Disclosed by Recruiter ,2 - 6 yrs, BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
199,2019-08-06 09:05:07 +0000, Java Software Engineer, Not Disclosed by Recruiter ,1 - 5 yrs, Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
200,2019-08-04 04:19:12 +0000, Admin Executive, Not Disclosed by Recruiter ,2 - 5 yrs, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application,Administration/Facility Management,Chandigarh,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Executive/ Sr Executive - Administration
201,2019-08-04 12:29:28 +0000, Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa, Not Disclosed by Recruiter ,12 - 17 yrs, Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills,Senior Management,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Head/VP/GM-Finance/Audit
202,2019-07-04 07:19:05 +0000, Accounts Manager (male)," 4,00,000 - 9,00,000 PA. ",7 - 12 yrs, Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,Accounts,"Gurgaon,Noida","Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager
203,2019-07-07 01:12:18 +0000, Opening for French Specialist Accounts Payable, Not Disclosed by Recruiter ,1 - 4 yrs, accounts payable| accounting| AP,Back Office/Web/Transaction Processing,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
204,2019-08-06 08:53:45 +0000, Applications Analyst OEE, Not Disclosed by Recruiter ,3 - 5 yrs, Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer
205,2019-08-05 23:40:56 +0000, Customer Service Engineer - - ICD Security Solutions, Not Disclosed by Recruiter ,2 - 7 yrs, Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV,Corporate Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Client Servicing/Key Account Manager
206,2019-08-04 06:32:23 +0000, Urgently Required Senior PHP Developer(laravel) || Gurgaon ," 3,00,000 - 7,00,000 PA. ",2 - 5 yrs, CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
207,2019-07-05 22:02:32 +0000, Associate Process Consultant, Not Disclosed by Recruiter ,7 - 12 yrs, Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio,Project Management,Pune,IT Software - Telecom Software,"IT-Software, Software Services",Project Manager-IT/Software
208,2019-07-06 23:58:05 +0000, Infrastructure management- Lecturer, Not Disclosed by Recruiter ,5 - 7 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,Ghaziabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
209,2019-08-05 15:26:19 +0000, Finance Admin, Not Disclosed by Recruiter ,4 - 6 yrs, Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics,Finance/Audit,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Financial Analyst
210,2019-08-06 07:56:08 +0000, Guest Relations Executive, Not Disclosed by Recruiter ,6 - 7 yrs, Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising,Senior Management,"Mumbai,Delhi","Sales , Retail , Business Development","NGO, Social Services, Regulators, Industry Associations",Head/VP/GM/National Manager -Sales
211,2019-08-04 08:32:47 +0000, Salesforce System Architect, Not Disclosed by Recruiter ,8 - 12 yrs, salesforce| salesforce.com| system design| application architecture,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
212,2019-08-05 11:50:58 +0000,," INR 9,00,000 - 15,00,000 PA. ",,,,,,,
213,2019-07-04 22:00:51 +0000,System Monitoring Tools & Techniques Professional, Not Disclosed by Recruiter, 13 - 15 Years,Execution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring,Project Management, Bengaluru,"IT Software - ERP , CRM",IT-Software / Software Services,Project Manager-IT/Software
214,2019-07-04 06:06:45 +0000, HR Recruiter," 50,000 - 1,00,000 PA. ",0 - 2 yrs, Recruitment| Hiring| HR| Screening| Interviewing| Staffing,Other,Navi Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher
215,2019-07-06 23:56:18 +0000, Business Development Manager (eCommerce), Not Disclosed by Recruiter ,1 - 3 yrs, bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba,Corporate Sales,Delhi,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
216,2019-07-04 20:09:59 +0000, Java Developer - Spring/ Hibernate, Not Disclosed by Recruiter ,5 - 10 yrs, Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
217,2019-08-05 09:33:26 +0000, Python Developer, Not Disclosed by Recruiter ,0 - 1 yrs, Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
218,2019-08-06 03:40:31 +0000, Sales And Marketing/Business Development manager, Not Disclosed by Recruiter ,2 - 7 yrs, Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO,Retail Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
219,2019-08-05 04:15:37 +0000, Microsoft Developer, Not Disclosed by Recruiter ,2 - 7 yrs, build automation| Entity framework| MVC| microsoft| SQL,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
220,2019-07-05 01:21:14 +0000, Customer Service Executive (Adeeba Group) for Tech Support/ Sales, Not Disclosed by Recruiter ,2 - 7 yrs, Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
221,2019-08-04 15:22:42 +0000, Inbound Technical Support With Attractive Salary Package, Not Disclosed by Recruiter ,0 - 5 yrs, Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
222,2019-07-04 17:51:01 +0000," Placement Officer,"," 1,75,000 - 2,75,000 PA. ",0 - 5 yrs, HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer,Other,Pune,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Outside Consultant
223,2019-08-04 12:54:53 +0000, Walk-in Interviews For Sr.executive - Procurement on 5th July," 5,00,000 - 7,00,000 PA. ",2 - 5 yrs, Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management,Purchase/Material Management,Gurgaon,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase Executive
224,2019-07-07 04:30:39 +0000,Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore,"INR 2,00,000 - 7,00,000 PA.", 2 - 5 Years,Test Engineering,Programming & Design,Bengaluru (Bellandur) ,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
225,2019-08-04 13:48:14 +0000, Senior TSA Inbound Tech Process, Not Disclosed by Recruiter ,0 - 2 yrs, Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
226,2019-08-04 11:00:41 +0000, Freelance Corporate Trainer on Taleo, Not Disclosed by Recruiter ,5 - 10 yrs, Corporate Training| corporate trainer| technical trainer,Teachers,Bengaluru,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Trainer
227,2019-07-04 19:58:27 +0000, Senior Java Developer- Urgently Required by Mumbai IT Company," 3,50,000 - 6,00,000 PA. ",3 - 5 yrs, java| mongodb| Hibernate| spring| jms,Programming & Design,Mumbai (Sakinaka) ,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
228,2019-08-06 03:22:41 +0000, Manager Procurement, Not Disclosed by Recruiter ,4 - 5 yrs, Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive,Purchase/Material Management,Mumbai,Purchase / Logistics / Supply Chain,"Advertising, PR, MR, Event Management",Purchase/Vendor Development Manager
229,2019-08-04 08:06:48 +0000, Senior Software Engineer - UI Development - Javascript/angularjs," 11,00,000 - 19,00,000 PA. ",5 - 10 yrs, software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
230,2019-07-07 04:12:50 +0000, Telle Caller, Not Disclosed by Recruiter ,0 - 2 yrs, good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency,Voice,Delhi,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Telecalling/Telemarketing Executive
231,2019-07-05 20:18:37 +0000, Documentation Executive," 3,50,000 - 5,00,000 PA. ",8 - 10 yrs, e - tendering| Tender Preparation| bid preparation| proposal preparation,,Delhi NCR (Green Park) ,Other,"Architecture, Interior Design",Other
232,2019-07-06 12:57:48 +0000, Restaurant Cashier," 1,50,000 - 2,25,000 PA. ",2 - 4 yrs, Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT,Front Office/Customer Care,Delhi NCR (Shakti Nagar) ,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Cashier
233,2019-07-06 15:39:55 +0000," Opening For Dot Net Developer @ Baner, Pune", Not Disclosed by Recruiter ,0 - 0 yrs, C#| .Net| Asp.net,Other,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher
234,2019-08-05 17:29:47 +0000, Management Trainee, Not Disclosed by Recruiter ,0 - 2 yrs, Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office,Other,Pune,"Sales , Retail , Business Development",Insurance,Trainee
235,2019-07-05 22:22:16 +0000, Junior Company Secretary, Not Disclosed by Recruiter ,3 - 8 yrs, Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst,Programming & Design,Gurgaon,IT Software - QA & Testing,"Medical, Healthcare, Hospitals",Testing Engineer
236,2019-08-04 01:42:05 +0000, Production Manager," 1,25,000 - 3,00,000 PA. ",1 - 5 yrs, Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing,Production/Manufacturing/Maintenance,"Chandigarh,Panchkula","Production , Manufacturing , Maintenance","Internet, Ecommerce",Production Manager
237,2019-08-05 05:26:11 +0000, Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice), Not Disclosed by Recruiter ,0 - 1 yrs, Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
238,2019-07-05 17:52:17 +0000, Business Transformation Consultant, Not Disclosed by Recruiter ,3 - 8 yrs, project management| management consulting| business transformation| strategy consulting| change management| sales strategy| top management,,"Delhi NCR,Mumbai,Bengaluru",Other,"Strategy, Management Consulting Firms",Other
239,2019-07-05 16:36:01 +0000, Content Editor, Not Disclosed by Recruiter ,3 - 6 yrs, Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration,Content Development,Hyderabad,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
240,2019-07-06 19:17:53 +0000, Graphics Hardware Engineer, Not Disclosed by Recruiter ,5 - 7 yrs, Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals,Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
241,2019-08-04 15:30:23 +0000, Visual Designer, Not Disclosed by Recruiter ,1 - 3 yrs, Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer,Creative,Bengaluru,"Design , Creative , User Experience","IT-Software, Software Services",Visualiser
242,2019-08-06 08:43:30 +0000, Web Designer, Not Disclosed by Recruiter ,3 - 8 yrs, Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer
243,2019-07-06 14:43:29 +0000, ACCOUNTS EXECUTIVES, Not Disclosed by Recruiter ,3 - 8 yrs, Tally| Retail| Accounts Executive| Retail Executive,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Industrial Products, Heavy Machinery",Accounts Executive/Accountant
244,2019-07-05 06:17:24 +0000, Finance & Accounting Associates, Not Disclosed by Recruiter ,2 - 5 yrs, Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking,Accounts,Noida,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Manager
245,2019-08-05 09:40:07 +0000, DEALER - RETAIL BROKING, Not Disclosed by Recruiter ,1 - 5 yrs, NSE| Lead generation| Compliance| Relationship| Equity| Client acquisition| Research| Revenue generation| Monitoring| HNI client handling,Institutional Sales,Kolkata,"Sales , Retail , Business Development","Accounting, Finance",Sales Executive/Officer
246,2019-08-05 05:50:11 +0000, SENIOR SOFTWARE DEVELOPER (MVC .NET), Not Disclosed by Recruiter ,5 - 7 yrs, MySQL| Javascript| UML| server| css| Technical writing| html5| bootstrap| microsoft| Technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| Visual Studio| quality| MS SQL| infrastructure| .net| agile| angularjs| aws,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
247,2019-08-06 06:23:40 +0000, Client Relationship Partner, Not Disclosed by Recruiter ,2 - 7 yrs, MIS reporting| Trade| Operational risk| Banking| Relationship| Client relationship| Saving,Retail/Personal Banking,Bengaluru,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Sales Officer
248,2019-07-05 16:47:21 +0000," Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)"," 2,75,000 - 7,50,000 PA. ",2 - 7 yrs, sales strategy| sales management| B2B Sales| corporate sales| institutional sales,Institutional Sales,"Mumbai,Pune","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
249,2019-08-04 16:20:06 +0000, Dot Net Developer, Not Disclosed by Recruiter ,2 - 7 yrs, soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design,Programming & Design,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
250,2019-07-04 03:01:13 +0000, Lead Business Systems Analyst, Not Disclosed by Recruiter ,7 - 8 yrs, Analyst,,Gurgaon,Other,"Banking, Financial Services, Broking",Other
251,2019-08-05 14:14:54 +0000, Sr. Manager- Art in Mumbai || Opportunity @ Client side, Not Disclosed by Recruiter ,7 - 12 yrs, Art Director,Senior Management,Mumbai,"Design , Creative , User Experience","Internet, Ecommerce",Creative Director
252,2019-07-04 07:24:07 +0000, Hiring for Domestic/ International Processes.contact the HR Asap," 1,50,000 - 3,00,000 PA. ",0 - 3 yrs, fresher| icse| inbound process| outbound| international bpo| uk process| bcom| communication skills| back office| cbse| web chat| chat process| Aviation| Guest Relations| Public Speaking| PR,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
253,2019-08-04 10:13:25 +0000, Sr . Manager, Not Disclosed by Recruiter ,7 - 10 yrs, Automobile| Warehouse| Problem management| Manager Operations,,Ahmedabad,Top Management,"Recruitment, Staffing",Head/VP/GM-Operations
254,2019-07-06 14:36:44 +0000, Manager Learning & Development," 18,00,000 - 27,50,000 PA. ",10 - 15 yrs,,Senior Management,Bengaluru,"HR , Recruitment , Administration , IR","Semiconductors, Electronics",Head/VP/GM-Training & Development
255,2019-08-04 15:18:03 +0000, Urgent Requirement for CCE Telesales for Night Shift., Not Disclosed by Recruiter ,1 - 6 yrs, Outbound| Telesales| Night shift| English| process| Technical| Inbound calls| Service| Printers| Business Executive,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
256,2019-08-04 15:23:52 +0000, Vancancy for Inbound Tech Sales Executive, Not Disclosed by Recruiter ,0 - 3 yrs, Outbound| Service| Technical support| process| Inbound calls| Domestic BPO| Bonus| Business Executive| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
257,2019-08-04 14:18:19 +0000, Infrastructure SSO Architect- Looking For Early Joiners, Not Disclosed by Recruiter ,10 - 20 yrs, single sign - on| single sign on| IT Infrastructure| SSO,System Design/Implementation/ERP/CRM,"Gurgaon,Australia","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Solution Architect / Enterprise Architect
258,2019-07-06 13:27:20 +0000, Sr. Architect / Project Position: Sr. Architect / Project, Not Disclosed by Recruiter ,10 - 15 yrs, layout| coordinating| material selection| ms| mep| photoshop| corel draw| co| monitoring| plumbing,Architectural Services,"Mumbai,Thane","Architecture , Interior Design","Real Estate, Property",Architect
